lat,lon,heading_deg,bearing_deg,range_ft,target_lat,target_lon,airspeed_fps,groundspeed_fps,theta_deg,phi_deg,gps_altitude_ft,baro_altitude_ft,bat_voltage_V,sound_bit
37.889642,-97.128163,224.95,225.32,29247.11,37.827131,-97.191524,30,30,2,-0.18,39510.06,39510.06,16,0
37.889412,-97.128456,224.98,225.3,29128.59,37.827131,-97.191524,30,30,2,-0.21,39503.4,39503.4,16,0
37.889182,-97.12875,225.04,225.27,29009.94,37.827131,-97.191524,30,30,2,-0.25,39496.74,39496.74,16,0
37.888955,-97.129038,224.92,225.24,28893.47,37.827131,-97.191524,30,30,2,-0.21,39490.19,39490.19,16,0
37.888727,-97.129329,224.87,225.21,28776.14,37.827131,-97.191524,30,30,2,-0.2,39483.6,39483.6,16,0
37.888497,-97.129621,224.88,225.18,28658.01,37.827131,-97.191524,30,30,2,-0.22,39476.96,39476.96,16,0
37.888266,-97.129914,224.97,225.15,28539.14,37.827131,-97.191524,30,30,2,-0.26,39470.29,39470.29,16,0
37.888039,-97.130203,224.88,225.12,28422.31,37.827131,-97.191524,30,30,2,-0.24,39463.72,39463.72,16,0
37.887811,-97.130492,224.8,225.09,28305.44,37.827131,-97.191524,30,30,2,-0.22,39457.16,39457.16,16,0
37.887579,-97.130785,224.9,225.06,28186.39,37.827131,-97.191524,30,30,2,-0.26,39450.47,39450.47,16,0
37.88735,-97.131074,224.84,225.04,28069.29,37.827131,-97.191524,30,30,2,-0.25,39443.89,39443.89,16,0
37.887122,-97.131363,224.79,225.01,27952.08,37.827131,-97.191524,30,30,2,-0.24,39437.31,39437.31,16,0
37.886893,-97.131652,224.76,224.98,27834.69,37.827131,-97.191524,30,30,2,-0.24,39430.71,39430.71,16,0
37.88666,-97.131946,224.91,224.95,27715.33,37.827131,-97.191524,30,30,2,-0.28,39424.01,39424.01,16,0
37.88643,-97.132235,224.87,224.92,27598.03,37.827131,-97.191524,30,30,2,-0.27,39417.42,39417.42,16,0
37.8862,-97.132524,224.86,224.89,27480.4,37.827131,-97.191524,30,30,2,-0.27,39410.81,39410.81,16,0
37.885966,-97.132819,225.06,224.86,27360.65,37.827131,-97.191524,30,30,2,-0.25,39404.08,39404.08,16,0
37.885736,-97.133107,225.04,224.83,27243.21,37.827131,-97.191524,30,30,2,-0.25,39397.49,39397.49,16,0
37.885502,-97.133401,225.18,224.8,27123.62,37.827131,-97.191524,30,30,2,-0.17,39390.77,39390.77,16,0
37.885272,-97.133689,225.15,224.77,27006.16,37.827131,-97.191524,30,30,2,-0.16,39384.17,39384.17,16,0
37.885037,-97.133983,225.2,224.73,26886.53,37.827131,-97.191524,30,30,2,-0.05,39377.45,39377.45,16,0
37.884803,-97.134276,225.14,224.7,26766.86,37.827131,-97.191524,30,30,2,0.08,39370.73,39370.73,16,0
